b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Burrito Bowl',"b'Your choice of freshly grilled meat or sofritas served in a delicious bowl with rice, beans, or fajita veggies, and topped with guac, salsa, queso blanco, sour cream or cheese.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Burrito',"b'Your choice of freshly grilled meat or sofritas wrapped in a warm flour tortilla with rice, beans, or fajita veggies, and topped with guac, salsa, queso blanco, sour cream or cheese.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Guacamole',b'',b'$5.30'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Three Tacos',b'3 Tacos',b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Quesadilla',"b'Cheese in a Flour Tortilla with your choice of meat, sofritas or fajita veggies and three included sides.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Tractor Organic Lemonade',b'',b'$4.05'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Queso Blanco',b'',b'$5.30'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Salad',"b'Your choice of meat or sofritas served with our fresh supergreens lettuce blend made of Romaine, Baby Kale, and Baby Spinach. Add beans, queso blanco, salsa, guacamole, sour cream or cheese and top it off with our signature Chipotle-Honey Vinaigrette.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Side of Guacamole',b'',b'$3.15'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Mexican Coca-Cola',b'',b'$3.80'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Burrito',"b'Your choice of freshly grilled meat or sofritas wrapped in a warm flour tortilla with rice, beans, or fajita veggies, and topped with guac, salsa, queso blanco, sour cream or cheese.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Burrito Bowl',"b'Your choice of freshly grilled meat or sofritas served in a delicious bowl with rice, beans, or fajita veggies, and topped with guac, salsa, queso blanco, sour cream or cheese.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Quesadilla',"b'Cheese in a Flour Tortilla with your choice of meat, sofritas or fajita veggies and three included sides.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Salad',"b'Your choice of meat or sofritas served with our fresh supergreens lettuce blend made of Romaine, Baby Kale, and Baby Spinach. Add beans, queso blanco, salsa, guacamole, sour cream or cheese and top it off with our signature Chipotle-Honey Vinaigrette.'",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',"b""Kid's Build Your Own""","b""Your choice of meat, guacamole or queso, and two toppings to go with a pair of crispy corn or soft flour Tortillas.Includes fruit or kid's chips and organic juice or milk.""",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',"b""Kid's Quesadilla""","b""With a side of rice and beans. Includes fruit or kid's chips and organic juice or milk.""",b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'One Taco',b'Tacos',b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Three Tacos',b'3 Tacos',b''
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Roasted Chili-Corn Salsa',b'',b'$2.85'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Fresh Tomato Salsa',b'',b'$2.85'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Tomatillo-Red Chili Salsa',b'',b'$2.85'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Tomatillo-Green Chili Salsa',b'',b'$2.85'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Large Chips & Large Queso Blanco',b'',b'$8.50'
b'Chipotle Mexican Grill',b'BURRITO',b'',b'30-40 MIN\n885 10TH AVE (\n0.4 MI\n)\nMORE INFO',b'Chips & Queso Blanco',b'',b'$5.30'
